kategori;nama;gambar;deskripsi;warna;ukuran;isi
hd;HD Tiger Bening;hd1.png;Plastik HD bening;Bening;24;3 Ons
hd;HD Tiger Merah;hd1.png;Plastik HD merah;Merah;23;4 Ons
